album,track_title,track_url,track_views
4:44,Kill Jay Z,https://genius.com/Jay-z-kill-jay-z-lyrics,940.8K
4:44,The Story of O.J.,https://genius.com/Jay-z-the-story-of-oj-lyrics,1.9M
4:44,Smile (Ft. Gloria Carter),https://genius.com/Jay-z-smile-lyrics,693.6K
4:44,Caught Their Eyes (Ft. Frank Ocean),https://genius.com/Jay-z-caught-their-eyes-lyrics,409.9K
4:44,4:44,https://genius.com/Jay-z-4-44-lyrics,1.8M
4:44,Family Feud (Ft. Beyoncé),https://genius.com/Jay-z-family-feud-lyrics,819.6K
4:44,Bam (Ft. Damian Marley),https://genius.com/Jay-z-bam-lyrics,604.1K
4:44,Moonlight,https://genius.com/Jay-z-moonlight-lyrics,375.3K
4:44,Marcy Me,https://genius.com/Jay-z-marcy-me-lyrics,405K
4:44,Legacy,https://genius.com/Jay-z-legacy-lyrics,293.2K
4:44,Adnis,https://genius.com/Jay-z-adnis-lyrics,110K
4:44,Blue's Freestyle/We Family (Ft. Blue Ivy Carter),https://genius.com/Jay-z-blues-freestyle-we-family-lyrics,180.2K
4:44,MaNyfaCedGod (Ft. James Blake),https://genius.com/Jay-z-manyfacedgod-lyrics,106.8K
Magna Carta... Holy Grail,Holy Grail (Ft. Justin Timberlake),https://genius.com/Jay-z-holy-grail-lyrics,6.2M
Magna Carta... Holy Grail,Picasso Baby,https://genius.com/Jay-z-picasso-baby-lyrics,876.7K
Magna Carta... Holy Grail,Tom Ford,https://genius.com/Jay-z-tom-ford-lyrics,1.6M
Magna Carta... Holy Grail,FuckWithMeYouKnowIGotIt (Ft. Rick Ross),https://genius.com/Jay-z-fuckwithmeyouknowigotit-lyrics,1.4M
Magna Carta... Holy Grail,Oceans (Ft. Frank Ocean),https://genius.com/Jay-z-oceans-lyrics,1.1M
Magna Carta... Holy Grail,F.U.T.W,https://genius.com/Jay-z-futw-lyrics,470K
Magna Carta... Holy Grail,Somewhereinamerica,https://genius.com/Jay-z-somewhereinamerica-lyrics,553.7K
Magna Carta... Holy Grail,Crown (Ft. Travis Scott),https://genius.com/Jay-z-crown-lyrics,546.5K
Magna Carta... Holy Grail,Heaven (Ft. Justin Timberlake),https://genius.com/Jay-z-heaven-lyrics,633.6K
Magna Carta... Holy Grail,Versus (Interlude),https://genius.com/Jay-z-versus-interlude-lyrics,155.9K
Magna Carta... Holy Grail,Part II (On the Run) (Ft. Beyoncé),https://genius.com/Jay-z-part-ii-on-the-run-lyrics,2.4M
Magna Carta... Holy Grail,Beach Is Better (Interlude),https://genius.com/Jay-z-beach-is-better-interlude-lyrics,587.3K
Magna Carta... Holy Grail,"BBC (Ft. Beyoncé, Justin Timberlake, Nas & Swizz Beatz)",https://genius.com/Jay-z-bbc-lyrics,581.4K
Magna Carta... Holy Grail,Jay Z Blue,https://genius.com/Jay-z-jay-z-blue-lyrics,416.7K
Magna Carta... Holy Grail,La Familia,https://genius.com/Jay-z-la-familia-lyrics,490.3K
Magna Carta... Holy Grail,Nickels and Dimes,https://genius.com/Jay-z-nickels-and-dimes-lyrics,305.9K
Magna Carta... Holy Grail,Open Letter,https://genius.com/Jay-z-open-letter-lyrics,773.8K
Magna Carta... Holy Grail,Magna Carta... Holy Grail [Booklet],https://genius.com/Jay-z-magna-carta-holy-grail-booklet-annotated,
Live In Brooklyn,Empire State of Mind (Live) (Ft. Alicia Keys),https://genius.com/Jay-z-empire-state-of-mind-live-lyrics,
Live In Brooklyn,Run This Town (Live),,(Missing Lyrics)
Live In Brooklyn,On to the Next One (Live),,(Missing Lyrics)
Live In Brooklyn,Give It To Me/Big Pimpin (Live),,(Missing Lyrics)
Live In Brooklyn,03' Bonnie & Clyde (Live),,(Missing Lyrics)
Live In Brooklyn,Crazy In Love (Live In Brooklyn) by Beyoncé (Ft. JAY-Z),https://genius.com/Beyonce-crazy-in-love-live-in-brooklyn-lyrics,
Live In Brooklyn,Public Service Announcement (Live,,(Missing Lyrics)
Live In Brooklyn,Young Forever (Live) (Ft. Beyoncé),https://genius.com/Jay-z-young-forever-live-lyrics,
"The Hits Collection, Vol. One",Public Service Announcement,https://genius.com/Jay-z-public-service-announcement-lyrics,700.2K
"The Hits Collection, Vol. One",Run This Town (Ft. Kanye West & Rihanna),https://genius.com/Jay-z-run-this-town-lyrics,736K
"The Hits Collection, Vol. One",'03 Bonnie & Clyde (Ft. Beyoncé),https://genius.com/Jay-z-03-bonnie-and-clyde-lyrics,572.7K
"The Hits Collection, Vol. One",Encore,https://genius.com/Jay-z-encore-lyrics,357.9K
"The Hits Collection, Vol. One",I Just Wanna Love U (Give it 2 Me) (Ft. Pharrell Williams),https://genius.com/Jay-z-i-just-wanna-love-u-give-it-2-me-lyrics,333K
"The Hits Collection, Vol. One",Izzo (H.O.V.A.),https://genius.com/Jay-z-izzo-hova-lyrics,515.7K
"The Hits Collection, Vol. One",D.O.A. (Death of Auto-Tune),https://genius.com/Jay-z-doa-death-of-auto-tune-lyrics,239.5K
"The Hits Collection, Vol. One",99 Problems,https://genius.com/Jay-z-99-problems-lyrics,1.1M
"The Hits Collection, Vol. One",Empire State of Mind (Ft. Alicia Keys),https://genius.com/Jay-z-empire-state-of-mind-lyrics,1.9M
"The Hits Collection, Vol. One",Dirt Off Your Shoulder,https://genius.com/Jay-z-dirt-off-your-shoulder-lyrics,297.5K
"The Hits Collection, Vol. One",Hard Knock Life (Ghetto Anthem),https://genius.com/Jay-z-hard-knock-life-ghetto-anthem-lyrics,441.6K
"The Hits Collection, Vol. One",Show Me What You Got,https://genius.com/Jay-z-show-me-what-you-got-lyrics,68.6K
"The Hits Collection, Vol. One",Roc Boys (And the Winner Is)...,https://genius.com/Jay-z-roc-boys-and-the-winner-is-lyrics,207.3K
"The Hits Collection, Vol. One",Big Pimpin' (Ft. UGK),https://genius.com/Jay-z-big-pimpin-lyrics,677.9K
"The Hits Collection, Vol. One",Young Gifted and Black,https://genius.com/Jay-z-young-gifted-and-black-lyrics,14.8K
"The Hits Collection, Vol. One",Pump It Up Freestyle,https://genius.com/Jay-z-pump-it-up-freestyle-lyrics,34.9K
"The Hits Collection, Vol. One",My President (Remix) (Ft. Jeezy),https://genius.com/Jay-z-my-president-remix-lyrics,79.7K
"The Hits Collection, Vol. One","Go Hard (Remix) by DJ Khaled (Ft. JAY-Z, Kanye West & T-Pain)",https://genius.com/Dj-khaled-go-hard-remix-lyrics,33.6K
