album,track_title,track_url
JAY Z - IN MY LIFETIME VOL.1,Jay-Z - Original 'A million and one questions / Rhyme no more',https://www.youtube.com/watch?v=8y-zr038dOI&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=1
JAY Z - IN MY LIFETIME VOL.1,The City is Mine feat Blackstreet,https://www.youtube.com/watch?v=BVspBARWw6M&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=2
,imaginary player,https://www.youtube.com/watch?v=OQFrZRPuQP4
,streets is watchin,https://www.youtube.com/watch?v=xC-fVzKGThg
JAY Z - IN MY LIFETIME VOL.1,Friend or Foe,https://www.youtube.com/watch?v=LX5UEoO8R8A&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=4
JAY Z - IN MY LIFETIME VOL.1,Lucky Me,https://www.youtube.com/watch?v=HWPTWPTWF4o&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=5
JAY Z - IN MY LIFETIME VOL.1,Sauce Money Ft. Jay-Z - Face Off 2000,https://www.youtube.com/watch?v=W-jZHfmc2dY&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=6
JAY Z - IN MY LIFETIME VOL.1,Jay-Z - (Always Be My) Sunshine ft. Babyface & Foxy Brown (Lyrics),https://www.youtube.com/watch?v=jPxESiBs5mo&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=7
JAY Z - IN MY LIFETIME VOL.1,Who You Wit,https://www.youtube.com/watch?v=YxAB85u_AS4&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=8
JAY Z - IN MY LIFETIME VOL.1,Jay-Z - Where I'm From (Feat. Beanie Sigel),https://www.youtube.com/watch?v=KfPozdQor54&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=10
JAY Z - IN MY LIFETIME VOL.1,JAY Z you must love me ft KELLY PRICE,https://www.youtube.com/watch?v=aD88Y315aZ0&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=11
JAY Z - IN MY LIFETIME VOL.1,Sauce Money Ft. Jay-Z - Face Off 2000,https://www.youtube.com/watch?v=W-jZHfmc2dY&list=PL61YjVa1b9jkCMdfftZt9GbnGVwfyXuTP&index=13
Vol. 2... Hard Knock Life,Intro - Hand It Down [Remake],https://www.youtube.com/watch?v=A2HgQfkqQwI&list=PLr1fYOvQFfPfHp8f_RhLjTBFqaU0lRSF_&index=1
Vol. 2... Hard Knock Life,Jay Z Hard knock life,https://www.youtube.com/watch?v=TuELGO_-lEU&list=PLr1fYOvQFfPfHp8f_RhLjTBFqaU0lRSF_&index=2
Vol. 2... Hard Knock Life,Ruff Ryders - Jigga My Nigga feat. Jay-Z - Ryde Or Die Volume 1,https://www.youtube.com/watch?v=H46GmNo-vso&list=PLr1fYOvQFfPfHp8f_RhLjTBFqaU0lRSF_&index=4
Vol. 2... Hard Knock Life,"Nigga What, Nigga Who (Originator 99)",https://www.youtube.com/watch?v=aYSY00xKyS4&list=PLr1fYOvQFfPfHp8f_RhLjTBFqaU0lRSF_&index=5
